# HotWire artifact -- Attack A2 (forced PreCharge / V2L) sustained-discharge evidence
# Vehicle: LUXGEN N7 (production unit, lab bench).
# Source: decoded from the recorded DIN 70121 trace of the full sustained-discharge session.
# Duration: ~100 minutes of continuous CurrentDemand activity (supports the >=60 min / ~1.25 kWh claim in Sec. 6).
# PRIVACY: the vehicle EVCCID/MAC and ALL link-layer & IPv6 addresses are EXCLUDED. This file contains
#          only protocol-reported electrical fields and relative timestamps -- no identifiers of any kind.
# NOTE: all values are PROTOCOL-REPORTED (read from V2G messages), NOT externally metered.
#       EVSEPresentCurrent is a fixed protocol value emitted by the rogue EVSE, not a measured current.
# Columns: t_rel_s, EVSEPresentVoltage_V (forged), EVSEPresentCurrent_A (reported), EVTargetVoltage_V (vehicle)
t_rel_s,EVSEPresentVoltage_V,EVSEPresentCurrent_A,EVTargetVoltage_V
49.071,,,413.6
49.135,0,200,
49.267,,,413.6
49.318,0,200,
49.368,,,413.6
49.430,0,200,
49.568,,,413.6
49.650,0,200,
49.768,,,413.6
49.844,0,200,
49.968,,,413.6
50.015,0,200,
50.067,,,413.6
50.130,0,200,
50.269,,,413.6
50.326,0,200,
50.368,,,413.6
50.445,0,200,
50.568,,,413.6
50.640,0,200,
50.769,,,413.6
50.810,0,200,
50.869,,,413.6
50.942,0,200,
51.071,,,413.6
51.150,0,200,
51.269,,,413.6
51.333,0,200,
51.468,,,413.6
51.521,0,200,
51.668,,,413.6
51.740,0,200,
51.867,,,413.6
51.924,0,200,
51.968,,,413.6
52.017,0,200,
52.068,,,413.6
52.132,0,200,
52.267,,,413.6
52.307,0,200,
52.368,,,413.6
52.430,0,200,
52.506,,,413.6
52.563,0,200,
52.670,,,413.6
52.776,0,200,
52.869,,,413.6
52.936,0,200,
53.067,,,413.6
53.140,0,200,
53.270,,,413.6
53.321,0,200,
53.367,,,413.6
53.426,0,200,
53.570,,,413.6
53.625,0,200,
53.802,,,413.6
53.842,0,200,
53.969,,,413.6
54.060,0,200,
54.168,,,413.6
54.256,0,200,
54.369,,,413.6
54.449,0,200,
54.570,,,413.6
54.626,0,200,
54.668,,,413.6
54.728,0,200,
54.870,,,413.6
54.940,0,200,
55.072,,,413.6
55.112,0,200,
55.168,,,413.6
55.233,0,200,
55.368,,,413.6
55.446,0,200,
55.569,,,413.6
55.627,0,200,
55.668,,,413.6
55.727,0,200,
55.767,,,413.6
55.836,0,200,
55.969,,,413.6
56.035,0,200,
56.169,,,413.6
56.232,0,200,
56.368,,,413.6
56.416,0,200,
56.468,,,413.6
56.531,0,200,
56.603,,,413.6
56.646,0,200,
56.768,,,413.6
56.839,0,200,
56.888,,,413.6
56.934,0,200,
57.071,,,413.6
57.136,0,200,
57.269,,,413.6
57.328,0,200,
57.367,,,413.6
57.413,0,200,
57.468,,,413.6
57.532,0,200,
57.667,,,413.6
57.713,0,200,
57.768,,,413.6
57.831,0,200,
57.969,,,413.6
58.037,0,200,
58.168,,,413.6
58.212,0,200,
58.268,,,413.6
58.324,0,200,
58.372,,,413.6
58.428,0,200,
58.568,,,413.6
58.633,0,200,
58.768,,,413.6
58.832,0,200,
58.968,,,413.6
59.009,0,200,
59.069,,,413.6
59.108,0,200,
59.168,,,413.6
59.213,0,200,
59.269,,,413.6
59.310,0,200,
59.368,,,413.6
59.413,0,200,
59.470,,,413.6
59.509,0,200,
59.568,,,413.6
59.633,0,200,
59.768,,,413.6
59.817,0,200,
59.870,,,413.6
59.935,0,200,
60.070,,,413.6
60.141,0,200,
60.270,,,413.6
60.321,0,200,
60.369,,,413.6
60.457,0,200,
60.569,,,413.6
60.639,0,200,
60.769,,,413.6
60.838,0,200,
60.969,,,413.6
61.031,0,200,
61.170,,,413.6
61.269,0,200,
61.368,,,413.6
61.433,0,200,
61.602,,,413.6
61.670,0,200,
61.768,,,413.6
61.807,0,200,
61.868,,,413.6
61.906,0,200,
61.969,,,413.6
62.026,0,200,
62.088,,,413.6
62.153,0,200,
62.269,,,413.6
62.332,0,200,
62.470,,,413.6
62.523,0,200,
62.570,,,413.6
62.633,0,200,
62.706,,,413.6
62.777,0,200,
62.901,,,413.6
63.004,0,200,
63.081,,,413.6
63.142,0,200,
63.203,,,413.6
63.280,0,200,
63.368,,,413.6
63.435,0,200,
63.569,,,413.6
63.615,0,200,
63.667,,,413.6
63.708,0,200,
63.769,,,413.6
63.815,0,200,
63.868,,,413.6
63.930,0,200,
64.067,,,413.6
64.120,0,200,
64.167,,,413.6
64.226,0,200,
64.267,,,413.6
64.320,0,200,
64.407,,,413.6
64.469,0,200,
64.603,,,413.6
64.668,0,200,
64.801,,,413.6
64.847,0,200,
64.971,,,413.6
65.033,0,200,
65.168,,,413.6
65.232,0,200,
65.369,,,413.6
65.431,0,200,
65.504,,,413.6
65.571,0,200,
65.670,,,413.6
65.731,0,200,
65.768,,,413.6
65.835,0,200,
65.981,,,413.6
66.046,0,200,
66.107,,,413.6
66.162,0,200,
66.268,,,413.6
66.346,0,200,
66.469,,,413.6
66.519,0,200,
66.570,,,413.6
66.639,0,200,
66.768,,,413.6
66.843,0,200,
66.968,,,413.6
67.032,0,200,
67.170,,,413.6
67.233,0,200,
67.368,,,413.6
67.412,0,200,
67.470,,,413.6
67.536,0,200,
67.667,,,413.6
67.733,0,200,
67.871,,,413.6
67.934,0,200,
68.069,,,413.6
68.156,0,200,
68.269,,,413.6
68.349,0,200,
68.469,,,413.6
68.545,0,200,
68.667,,,413.6
68.723,0,200,
68.768,,,413.6
68.831,0,200,
68.968,,,413.6
69.009,0,200,
69.068,,,413.6
69.131,0,200,
69.270,,,413.6
69.332,0,200,
69.469,,,413.6
69.534,0,200,
69.668,,,413.6
69.708,0,200,
69.768,,,413.6
69.837,0,200,
69.971,,,413.6
70.035,0,200,
70.168,,,413.6
70.230,0,200,
70.367,,,413.6
70.451,0,200,
70.568,,,413.6
70.648,0,200,
70.768,,,413.6
70.857,0,200,
70.967,,,413.6
71.065,0,200,
71.168,,,413.6
71.250,0,200,
71.302,,,413.6
71.359,0,200,
71.468,,,413.6
71.577,0,200,
71.686,,,413.6
71.772,0,200,
71.901,,,413.6
71.966,0,200,
72.069,,,413.6
72.162,0,200,
72.268,,,413.6
72.363,0,200,
72.470,,,413.6
72.512,0,200,
72.568,,,413.6
72.631,0,200,
72.769,,,413.6
72.823,0,200,
72.868,,,413.6
72.926,0,200,
73.067,,,413.6
73.133,0,200,
73.270,,,413.6
73.312,0,200,
73.368,,,413.6
73.433,0,200,
73.568,,,413.6
73.638,0,200,
73.768,,,413.6
73.818,0,200,
73.869,,,413.6
73.935,0,200,
74.070,,,413.6
74.143,0,200,
74.271,,,413.6
74.321,0,200,
74.368,,,413.6
74.432,0,200,
74.469,,,413.6
74.535,0,200,
74.671,,,413.6
74.769,0,200,
74.871,,,413.6
74.963,0,200,
75.069,,,413.6
75.187,0,200,
75.269,,,413.6
75.315,0,200,
75.369,,,413.6
75.430,0,200,
75.470,,,413.6
75.549,0,200,
75.669,,,413.6
75.748,0,200,
75.869,,,413.6
75.952,0,200,
76.069,,,413.6
76.147,0,200,
76.269,,,413.6
76.327,0,200,
76.402,,,413.6
76.464,0,200,
76.569,,,413.6
76.663,0,200,
76.768,,,413.6
76.853,0,200,
76.968,,,413.6
77.058,0,200,
77.168,,,413.6
77.253,0,200,
77.402,,,413.6
77.468,0,200,
77.568,,,413.6
77.619,0,200,
77.667,,,413.6
77.728,0,200,
77.767,,,413.6
77.881,0,200,
77.968,,,413.6
78.035,0,200,
78.169,,,413.6
78.232,0,200,
78.368,,,413.6
78.430,0,200,
78.569,,,413.6
78.617,0,200,
78.670,,,413.6
78.734,0,200,
78.870,,,413.6
78.936,0,200,
79.070,,,413.6
79.121,0,200,
79.168,,,413.6
79.228,0,200,
79.270,,,413.6
79.328,0,200,
79.469,,,413.6
79.532,0,200,
79.670,,,413.6
79.736,0,200,
79.870,,,413.6
79.930,0,200,
80.070,,,413.6
80.121,0,200,
80.168,,,413.6
80.228,0,200,
80.269,,,413.6
80.320,0,200,
80.368,,,413.6
80.427,0,200,
80.468,,,413.6
80.525,0,200,
80.568,,,413.6
80.624,0,200,
80.670,,,413.6
80.732,0,200,
80.804,,,413.6
80.866,0,200,
80.904,,,413.6
80.962,0,200,
81.069,,,413.6
81.171,0,200,
81.270,,,413.6
81.346,0,200,
81.469,,,413.6
81.560,0,200,
81.668,,,413.6
81.753,0,200,
81.867,,,413.6
81.942,0,200,
82.068,,,413.6
82.148,0,200,
82.270,,,413.6
82.345,0,200,
82.470,,,413.6
82.540,0,200,
82.669,,,413.6
82.740,0,200,
82.869,,,413.6
83.033,0,200,
83.168,,,413.6
83.233,0,200,
83.369,,,413.6
83.448,0,200,
83.568,,,413.6
83.651,0,200,
83.769,,,413.6
83.858,0,200,
83.968,,,413.6
84.059,0,200,
84.168,,,413.6
84.232,0,200,
84.369,,,413.6
84.450,0,200,
84.569,,,413.6
84.675,0,200,
84.771,,,413.6
84.837,0,200,
84.968,,,413.6
85.023,0,200,
85.069,,,413.6
85.134,0,200,
85.268,,,413.6
85.321,0,200,
85.369,,,413.6
85.427,0,200,
85.500,,,413.6
85.560,0,200,
85.702,,,413.6
85.742,0,200,
85.801,,,413.6
85.865,0,200,
85.968,,,413.6
86.025,0,200,
86.101,,,413.6
86.165,0,200,
86.203,,,413.6
86.273,0,200,
86.403,,,413.6
86.464,0,200,
86.502,,,413.6
86.565,0,200,
86.702,,,413.6
86.785,0,200,
86.869,,,413.6
86.938,0,200,
87.068,,,413.6
87.117,0,200,
87.167,,,413.6
87.224,0,200,
87.267,,,413.6
87.315,0,200,
87.368,,,413.6
87.429,0,200,
87.568,,,413.6
87.633,0,200,
87.768,,,413.6
87.822,0,200,
87.867,,,413.6
87.928,0,200,
88.070,,,413.6
88.127,0,200,
88.167,,,413.6
88.232,0,200,
88.369,,,413.6
88.433,0,200,
88.571,,,413.6
88.637,0,200,
88.769,,,413.6
88.813,0,200,
88.868,,,413.6
88.930,0,200,
89.067,,,413.6
89.123,0,200,
89.169,,,413.6
89.231,0,200,
89.368,,,413.6
89.431,0,200,
89.602,,,413.6
89.664,0,200,
89.767,,,413.6
89.851,0,200,
89.968,,,413.6
90.061,0,200,
90.169,,,413.6
